TIMESTAMP_START,TIMESTAMP_END,CO2,FC,FCH4,G,H,LE,WD,WS,USTAR,PA,RH,TA,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,P,T_SONIC,TS_1_1_1,TS_1_2_1,TS_1_3_1,WTD,FC_F,H_F,LE_F
201801010000 ,201801010030 ,-9999,-9999,-9999,-4.82,-9999,-9999,-9999,-9999,-9999,102.71,95.58,-2.59,-6.1,0,1.54,295.97,300.53,0,-9999,3.19,3.08,6.2,0.0341,-1.657304667,-4.201436667,-1.988172
201801010030 ,201801010100 ,-9999,-9999,-9999,-4.93,-9999,-9999,-9999,-9999,-9999,102.74,93.77,-2.43,-5.57,0,1.24,296.38,300.71,0,-9999,3.2,3.08,6.2,0.0339,-1.657304667,-4.201436667,-1.988172
201801010100 ,201801010130 ,-9999,-9999,-9999,-4.975,-9999,-9999,-9999,-9999,-9999,102.755,94.45,-2.78,-6.07,0,1.54,295.2,299.73,0,-9999,3.23,3.13,6.26,0.0339,-2.83455,-4.201436667,-1.988172
201801010130 ,201801010200 ,-9999,-9999,-9999,-5.025,-9999,-9999,-9999,-9999,-9999,102.77,92.9,-2.49,-6.9,0,1.5,294.42,299.82,0,-9999,3.19,3.15,6.26,0.0339,-1.657304667,-4.201436667,-1.988172
201801010200 ,201801010230 ,-9999,-9999,-9999,-5.14,-9999,-9999,-9999,-9999,-9999,102.795,93.86,-2.97,-6.73,0,1.49,293.46,298.7,0,-9999,3.24,3.13,6.24,0.0338,0.0041506,-4.201436667,-1.988172
201801010230 ,201801010300 ,-9999,-9999,-9999,-5.165,-9999,-9999,-9999,-9999,-9999,102.82,95.17,-3.82,-7.17,0,1.96,291.06,296.27,0,-9999,3.25,3.15,6.26,0.0334,0.504324333,-2.9298025,-2.84463
201801010300 ,201801010330 ,-9999,-9999,-9999,-5.175,-9999,-9999,-9999,-9999,-9999,102.84,96.13,-4.04,-6.67,0,1.9,290.53,295.3,0,-9999,3.23,3.14,6.26,0.033,0.504324333,-2.99544,7.028363133
201801010330 ,201801010400 ,-9999,-9999,-9999,-5.195,-9999,-9999,-9999,-9999,-9999,102.86,96.13,-3.52,-6.15,0,1.95,292.21,296.41,0,-9999,3.24,3.1,6.2,0.0329,0.504324333,-3.47134,-1.988172
201801010400 ,201801010430 ,-9999,-9999,-9999,-5.285,-9999,-9999,-9999,-9999,-9999,102.865,95.87,-3.89,-6.35,0,2.2,291.77,295.92,0,-9999,3.21,3.13,6.23,0.0329,0.504324333,-2.99544,6.811252765
201801010430 ,201801010500 ,-9999,-9999,-9999,-5.365,-9999,-9999,-9999,-9999,-9999,102.87,97.13,-3.5,-5.83,0,1.86,294.1,298.07,0,-9999,3.19,3.13,6.2,0.0329,0.82570825,-3.47134,-1.988172
201801010500 ,201801010530 ,-9999,-9999,-9999,-5.4,-9999,-9999,-9999,-9999,-9999,102.905,97.43,-3.3,-5.29,0,1.58,294.39,298.1,0,-9999,3.19,3.12,6.22,0.0329,0.0041506,-3.47134,-1.988172
201801010530 ,201801010600 ,-9999,-9999,-9999,-5.41,-9999,-9999,-9999,-9999,-9999,102.94,97.04,-4.14,-5.19,0,1.58,291.7,295.31,0,-9999,3.2,3.15,6.22,0.0328,0.504324333,-2.99544,6.357830944
201801010600 ,201801010630 ,-9999,-9999,-9999,-5.425,-9999,-9999,-9999,-9999,-9999,102.955,97.21,-4.08,-4.5,0,1.59,291.58,294.49,0,-9999,3.21,3.11,6.22,0.0321,0.504324333,-2.99544,6.415552474
201801010630 ,201801010700 ,-9999,-9999,-9999,-5.44,-9999,-9999,-9999,-9999,-9999,102.97,97.33,-3.53,-4.01,0,1.54,294.26,296.73,0,-9999,3.16,3.13,6.21,0.0319,0.504324333,-3.158638,-2.892846667
201801010700 ,201801010730 ,-9999,-9999,-9999,-5.455,-9999,-9999,-9999,-9999,-9999,102.98,97.13,-3.29,-3.72,0,1.31,295.77,298.18,0,-9999,3.17,3.13,6.21,0.0319,0.0041506,-3.47134,-1.988172
201801010730 ,201801010800 ,-9999,-9999,-9999,-5.505,-9999,-9999,-9999,-9999,-9999,102.99,96.03,-2.72,-2.83,0.54,0.93,298.56,301,0,-9999,3.15,3.12,6.2,0.0319,-1.657304667,-3.47134,-1.988172
201801010800 ,201801010830 ,-9999,-9999,-9999,-5.515,-9999,-9999,-9999,-9999,-9999,103.015,95.37,-2.48,7.06,15.73,6.52,300.29,302.44,0,-9999,3.15,3.11,6.2,0.0318,-0.353376,-3.47134,-1.988172
201801010830 ,201801010900 ,-9999,-9999,-9999,-5.47,-9999,-9999,-9999,-9999,-9999,103.04,95.19,-2.47,8,17.09,5.54,298.6,302.15,0,-9999,3.17,3.12,6.22,0.0315,-0.353376,-3.47134,-1.988172
201801010900 ,201801010930 ,-9999,-9999,-9999,-5.43,-9999,-9999,-9999,-9999,-9999,103.07,95.4,-2.32,22.72,39.56,13.24,298.67,302.27,0,-9999,3.15,3.13,6.26,0.0312,2.127798,3.50333,1.350920333
201801010930 ,201801011000 ,-9999,-9999,-9999,-5.345,-9999,-9999,-9999,-9999,-9999,103.1,95.34,-1.77,60.87,92.42,28.49,302.85,305.91,0,-9999,3.17,3.14,6.23,0.0309,0.139403,2.670405,10.419295
201801011000 ,201801011030 ,-9999,-9999,-9999,-5.165,-9999,-9999,-9999,-9999,-9999,103.095,93.24,-0.88,127.88,177.71,45.32,307.8,312.31,0.1,-9999,3.15,3.12,6.22,0.0309,-5.312205,14.2879,-3.338835
201801011030 ,201801011100 ,-9999,-9999,-9999,-4.815,-9999,-9999,-9999,-9999,-9999,103.09,88.6,0.71,249.91,315.85,40.15,289.62,315.41,0,-9999,3.14,3.11,6.22,0.0309,-0.360669667,58.9286,32.4082
201801011100 ,201801011130 ,-9999,-9999,-9999,-4.385,-9999,-9999,-9999,-9999,-9999,103.07,86.7,1.54,234.93,329.01,48.41,275.72,321.39,0,-9999,3.11,3.08,6.2,0.0309,-0.552202,62.78646667,31.34815
201801011130 ,201801011200 ,-9999,-9999,-9999,-3.875,-9999,-9999,-9999,-9999,-9999,103.05,84.26,2.33,179.6,279.02,39.07,264.58,324.93,0,-9999,3.08,3.04,6.14,0.0316,-0.321516571,50.21807273,28.777225
201801011200 ,201801011230 ,-9999,-9999,-9999,-3.335,-9999,-9999,-9999,-9999,-9999,103.04,81.46,2.27,139.76,228.3,27.31,263.27,324.5,0,-9999,3.11,3.04,6.17,0.0319,-2.1307888,27.20185,-2.51913
201801011230 ,201801011300 ,-9999,-9999,-9999,-2.945,-9999,-9999,-9999,-9999,-9999,103.03,83.03,2.29,64,145.17,17.41,257.9,321.66,0,-9999,3.13,3.06,6.21,0.0318,0.298207,11.16779333,2.704694333
201801011300 ,201801011330 ,-9999,-9999,-9999,-2.785,-9999,-9999,-9999,-9999,-9999,103.035,84.55,2.26,68.42,155.65,21.05,255.9,322.08,0,-9999,3.12,3.03,6.18,0.0311,0.298207,11.31044,0.8233865
201801011330 ,201801011400 ,-9999,-9999,-9999,-2.735,-9999,-9999,-9999,-9999,-9999,103.04,82.56,2.51,57.38,148.58,22.53,253.52,322.19,0,-9999,3.22,3.15,6.15,0.0309,0.298207,11.31044,0.8233865
201801011400 ,201801011430 ,-9999,-9999,-9999,-2.735,-9999,-9999,-9999,-9999,-9999,103.045,82.03,2.78,47.18,137.64,22.02,254.03,322.47,0,-9999,3.29,3.19,6.15,0.0309,0.630731333,10.5432025,2.45578075
201801011430 ,201801011500 ,-9999,-9999,-9999,-2.79,-9999,-9999,-9999,-9999,-9999,103.05,80.84,3.05,15.97,99.89,16.56,254.32,321.68,0,-9999,3.31,3.18,6.13,0.0308,0.511516,9.66498,3.70058575
